domain,path,type,media_name,state_abbr,countyFIPS,is_local_news_site
heralddemocrat.com,,newspaper,Herald Democrat,TX,48181,
alicetx.com,,newspaper,Alice Echo-News Journal,TX,48249,
palopintopress.com,,newspaper,Palo Pinto Press,TX,48363,
runnelscountyregister.com,,newspaper,Runnels County Register,TX,48399,
yourglenrosetx.com,,newspaper,Glen Rose Reporter,TX,48425,
weeklychoice.com,,newspaper,Gaylord Weekly Choice,MI,26137,
mtlakenews.com,,newspaper,Mountain Lake Observer,MN,27033,
windomnews.com,,newspaper,Cottonwood County Citizen,MN,27033,
rocklandtimes.com,,newspaper,Rockland County Times,NY,36087,
coopercrier.com,,newspaper,The Cooperstown Crier,NY,36077,
thedailystar.com,,newspaper,The Daily Star,NY,36077,
lockportjournal.com,,newspaper,Lockport Union-Sun and Journal,NY,36063,
niagara-gazette.com,,newspaper,Niagara Gazette,NY,36063,
pressrepublican.com,,newspaper,Press-Republican,NY,36019,
derrynews.com,,newspaper,Derry News,NH,33015,
mankatofreepress.com,,newspaper,The Free Press,MN,27013,
joplinglobe.com,,newspaper,Joplin Globe,MO,29097,
claremoreprogress.com,,newspaper,The Claremore Daily Progress,OK,40131,
stwnewspress.com,,newspaper,Stillwater News Press,OK,40119,
mcalesternews.com,,newspaper,McAlester News-Capital,OK,40121,
theadanews.com,,newspaper,Ada News,OK,40123,
duncanbanner.com,,newspaper,Duncan Banner,OK,40137,
woodwardnews.net,,newspaper,Woodward News,OK,40153,
mooreamerican.com,,newspaper,Moore American,OK,40027,
normantranscript.com,,newspaper,Norman Transcript,OK,40027,
enidnews.com,,newspaper,Enid News and Eagle,OK,40047,
tuttletimes.com,,newspaper,Tuttle Times,OK,40051,
chickashanews.com,,newspaper,The Express-Star,OK,40051,
paulsvalleydailydemocrat.com,,newspaper,Pauls Valley Democrat,OK,40049,
muskogeephoenix.com,,newspaper,Muskogee Phoenix,OK,40101,
tahlequahdailypress.com,,newspaper,Tahlequah Daily Press,OK,40021,
stilwelldemocrat.com,,newspaper,Stilwell Democrat Journal,OK,40001,
morningjournalnews.com,,newspaper,Morning Journal,OH,39029,
transylvaniatimes.com,,newspaper,The Transylvania Times,NC,37175,
tribdem.com,,newspaper,Tribune-Democrat,PA,42021,
meadvilletribune.com,,newspaper,Meadville Tribune,PA,42039,
sharonherald.com,,newspaper,Herald,PA,42085,
ncnewsonline.com,,newspaper,New Castle News,PA,42073,
dailyitem.com,,newspaper,Daily Item,PA,42097,
alliednews.com,,newspaper,Allied News,PA,42085,
palestineherald.com,,newspaper,Palestine Herald-Press,TX,48001,
