classification,class_2,local_regional,domain,name,state,website,twitter,youtube,facebook,owner,medium,collection_date,source
local,local,1,alaskamagazine.com,ak magazine,AK,http://www.alaskamagazine.com,AlaskaMagazine,http://www.youtube.com/user/AlaskaMagazine,https://www.facebook.com/AlaskaMagazine,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,alaskaone.org,kuac,AK,http://www.alaskaone.org/,,,,University of Alaska,TV station,2018-08-02 14:55:24.612585,stationindex
local,local,1,alaskaoutdoorjournal.com,ak outdoor journal,AK,http://www.alaskaoutdoorjournal.com,,http://www.youtube.com/user/AlaskaOutdoorJournal,https://www.facebook.com/AlaskaOutdoorJournal,,Magazines,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,alaskastar.com,alaska star ,AK,http://www.alaskastar.com,Alaska_Star,,https://www.facebook.com/AlaskaStar,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,albanyenterprise.com,albany enterprise,MN,http://www.albanyenterprise.com,,,https://www.facebook.com/pages/The-Albany-Enterprise/183250261761102,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,albanyherald.com,albany herald,GA,http://www.albanyherald.com,Albany_Herald,https://www.youtube.com/channel/UCaiXNQemIhhfpVvyrw_S_kA,https://www.facebook.com/albanyherald,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
international,international,0,albawaba.com,,,,,,,,,,
local,local,1,albertleatribune.com,albert lea tribune,MN,http://www.albertleatribune.com,altribune,http://www.youtube.com/user/AlbertLeaTribune,https://www.facebook.com/albertleatribune,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,albianews.com,albia union-republican,IA,http://www.albianews.com,,,https://www.facebook.com/AlbiaNewspapers,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,albionnewsonline.com,albion news,NE,http://www.albionnewsonline.com,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
local,local,1,albionnewsonline.com,petersburg press,NE,http://www.albionnewsonline.com/category/petersburg-press,,,,,Newspapers,2018-08-02 14:55:24.612585,usnpl.com
