domain,target_community
atlantablackstar.com,Black
atlantadailyworld.com,Black
atlantafi.com,Black
ognsc.com,Black
thebayareareview.com,Black
becauseofthemwecan.com,Black
simplecast.com,Black
bellbulletin.com,Black
bettertospeak.org,Black
bkreader.com,Black
blac.media,Black
blackagendareport.com,Black
theblackamericanspring.com,Black
blackbygod.org,Black
black-cannabis.com,Black
blackcatholicmessenger.com,Black
blackcontemporarytv.com,Black
blackenterprise.com,Black
blackfarmersindex.com,Black
bhnnow.com,Black
blackhistoryeveryday.life,Black
blkhistoryuntold.com,Black
blackinjersey.com,Black
binnews.com,Black
blacklinkmag.com,Black
black-millionaires.com,Black
blackwestchester.com,Black
blackamericaweb.com,Black
blackbeltvoices.com,Black
blackpressusa.com,Black
blackusa.news,Black
blavity.com,Black
bleumag.com,Black
blocbyblocknews.com,Black
bridgedetroit.com,Black
town.news,Black
thecaladvocate.com,Black
callandpost.com,Black
caribpress.com,Black
caribbeanamericanweekly.com,Black
caribbeanlifenews.com,Black
caribbeantimesnyc.com,Black
kprs.com,Black
carvdnstone.com,Black
cashcolorcannabis.com,Black
centralvalleyvoicenews.com,Black
thechallengernews.com,Black
chattnewschronicle.com,Black
cnyvision.com,Black
colorofwellness.co,Black
thebulletinweekly.com,Black
contextmediagroup.com,Black
whereweconverge.com,Black
core-mag.com,Black
crwnmag.com,Black
culturebanx.com,Black
cupofsoulshow.com,Black
davidsonlocal.com,Black
dbiradio.com,Black
deemjournal.com,Black
delawareblack.com,Black
durhamskywriter.com,Black
eastsidedailynews.com,Black
ebony.com,Black
eurweb.com,Black
elevatedayton.com,Black
enodi.co,Black
essence.com,Black
ecseattle.org,Black
ethioobserver.net,Black
ethiopique.com,Black
everybodysmag.com,Black
exposure-magazine.com,Black
exposureplustv.tv,Black
faithandsoul.net,Black
fivewardsmedia.com,Black
flintbeat.com,Black
fwinkspot.com,Black
fromthegman.net,Black
funtimesmagazine.com,Black
gainesvilleguardian.com,Black
georgiasentinelnews.com,Black
goingovertown.org,Black
grassrootswire.com,Black
haitienmarche.com,Black
harlemcommunitynews.com,Black
harlemworldmagazine.com,Black
harveyworld.org,Black
heragenda.com,Black
hyfin.org,Black
imixwhatilike.org,Black
imhotalkshow.org,Black
inglewoodbusinessmag.com,Black
inglewoodtimesmagazine.com,Black
inglewoodtoday.com,Black
inlandvalleynews.com,Black
inqnews.com,Black
itrnradio.com,Black
jacksonfreepress.com,Black
power88lv.com,Black
kisaradio.org,Black
rhythmofthecoast.com,Black
lafocusnewspaper.com,Black
lasvegasblackimage.com,Black
lasvegassoul.com,Black
virginialegacy.com,Black
littleafricanews.com,Black
lastandardnewspaper.com,Black
wavepublication.com,Black
lovenowmedia.com,Black
lowcountrypanorama.com,Black
madison365.org,Black
marcomweekly.com,Black
matermea.com,Black
miamediagrp.com,Black
mibulletin.com,Black
minorityreporter.net,Black
mississippifreepress.org,Black
mlk50.com,Black
